TimePeriod,GeoType,GeoID,GeoRank,Geography,Number (with AC),Percent (with AC),Percent (without AC)
2017,PUMA2010,3701,8,"Riverdale, Fieldston & Kingsbridge","36,000","88.8 (84.1, 93.5)",11.2
2017,PUMA2010,3702,8,"Wakefield, Williamsbridge & Woodlawn","34,000","83.0 (77.6, 88.4)",17
2017,PUMA2010,3703,8,"Co-op City, Pelham Bay & Schuylerville","43,000*","95.8* (92.2, 99.3)",4.2
2017,PUMA2010,3704,8,"Pelham Parkway, Morris Park & Laconia","36,000","87.5 (81.3, 93.8)",12.5
2017,PUMA2010,3705,8,"Belmont, Crotona Park East & East Tremont","37,000","75.8 (69.0, 82.5)",24.2
2017,PUMA2010,3706,8,"Bedford Park, Fordham North & Norwood","41,000","87.3 (81.1, 93.4)",12.7
2017,PUMA2010,3707,8,"Morris Heights, Fordham South & Mount Hope","33,000","79.7 (73.4, 86.0)",20.3
2017,PUMA2010,3708,8,"Concourse, Highbridge & Mount Eden","35,000","84.6 (77.7, 91.6)",15.4
2017,PUMA2010,3709,8,"Castle Hill, Clason Point & Parkchester","53,000","88.8 (84.3, 93.4)",11.2
2017,PUMA2010,3710,8,"Hunts Point, Longwood & Melrose","40,000","84.3 (79.1, 89.5)",15.7
2017,PUMA2010,3801,8,"Washington Heights, Inwood & Marble Hill","65,000","92.3 (89.6, 94.9)",7.7
2017,PUMA2010,3802,8,"Hamilton Heights, Manhattanville & West Harlem","39,000","87.8 (82.6, 93.1)",12.2
2017,PUMA2010,3803,8,Central Harlem,"44,000","82.2 (76.3, 88.0)",17.8
2017,PUMA2010,3804,8,East Harlem,"41,000","85.1 (80.6, 89.6)",14.9
2017,PUMA2010,3805,8,Upper East Side,"102,000*","96.4* (94.1, 98.8)",3.6
2017,PUMA2010,3806,8,Upper West Side & West Side,"88,000","92.2 (89.6, 94.8)",7.8
2017,PUMA2010,3807,8,"Chelsea, Clinton & Midtown Business District","72,000*","97.6* (96.0, 99.2)",2.4
2017,PUMA2010,3808,8,"Murray Hill, Gramercy & Stuyvesant Town","69,000","93.9 (91.4, 96.4)",6.1
2017,PUMA2010,3809,8,Chinatown & Lower East Side,"65,000","91.1 (87.9, 94.4)",8.9
2017,PUMA2010,3810,8,"Battery Park City, Greenwich Village & Soho","76,000*","98.1* (96.4, 99.8)",1.9
2017,PUMA2010,3901,8,"Tottenville, Great Kills & Annadale","51,000*","96.7* (94.3, 99.0)",3.3
